size,time F,time F_tail,time F_loop,,note: each time is the average of 100 runs
165,37.7571164,0.0088234,0.0085018,,
166,37.866445,0.0089501,0.008635,,
167,50.214284,0.0091306,0.0088963,,
168,51.3830101,0.0092008,0.008856,,
169,49.9158829,0.0093662,0.0089156,,
170,52.065662,0.0093719,0.0090303,,
171,74.2263931,0.0092294,0.0088037,,
172,75.9649839,0.0093237,0.0089763,,
173,73.6993136,0.0091533,0.0089047,,
174,98.8729236,0.009488,0.0094714,,
175,98.3021773,0.0095838,0.0090668,,
176,99.7258101,0.009509,0.0094414,,
177,98.3810018,0.0095919,0.0091466,,
178,148.8540089,0.0095166,0.0091566,,
179,145.1501566,0.0097372,0.0092256,,
180,147.1913347,0.0101815,0.0098361,,
181,191.8349661,0.0099811,0.0096911,,
182,195.3138627,0.010968,0.0096307,,
183,191.8681476,0.0098588,0.0093944,,
184,195.2618012,0.010133,0.0096979,,
185,284.9617555,0.0107098,0.0093254,,
186,295.2969932,0.0104928,0.0110251,,
187,294.9674793,0.0102916,0.0098228,,
188,410.2517804,0.0103283,0.0100982,,
189,405.4284309,0.0103349,0.0099386,,
190,405.5091713,0.0145437,0.0122831,,
191,395.1440267,0.0101551,0.0095533,,
192,598.0143538,0.0104781,0.0100683,,
193,589.8238664,0.0105369,0.0099359,,
194,610.1781843,0.0108074,0.0101379,,
195,772.0250721,0.0116027,0.0102901,,
196,794.9119839,0.0107667,0.0102531,,
197,792.3925269,0.0121148,0.0112174,,
198,826.3383939,0.0130269,0.011776,,
199,1189.11044,0.0113935,0.0102316,,
