size,time F,time F_tail,time F_loop
81,0.01145890000000005,0.004321799999999931,0.004105999999999943
82,0.01136680000000001,0.004236499999999976,0.00412570000000001
83,0.015195699999999923,0.004291099999999992,0.0040871999999999575
84,0.015422999999999965,0.004635799999999968,0.004508999999999985
85,0.015323299999999929,0.004633699999999963,0.004413999999999918
86,0.015032000000000045,0.004620300000000022,0.004472400000000043
87,0.0224955,0.004518099999999969,0.004400500000000029
88,0.02261039999999992,0.004619800000000063,0.004445799999999944
89,0.022649600000000047,0.004626800000000042,0.0044248000000000065
90,0.029130200000000106,0.004889800000000055,0.004768600000000012
91,0.029911200000000027,0.0048826999999999066,0.004672100000000068
92,0.029796099999999992,0.005009200000000047,0.004797099999999999
93,0.02972869999999994,0.004840599999999973,0.00467340000000005
94,0.04448160000000001,0.0049799999999999844,0.004768400000000006
95,0.04408600000000007,0.0057050999999999075,0.004694599999999993
96,0.04343320000000006,0.0052227000000000245,0.0049960000000000004
97,0.05752009999999985,0.00518149999999995,0.004955900000000124
98,0.05776950000000003,0.00569200000000003,0.005443000000000087
99,0.057527000000000106,0.005317499999999864,0.005065799999999898
100,0.05835290000000004,0.0052058999999999855,0.005053799999999997
101,0.08528000000000002,0.005227599999999999,0.0049407999999999674
102,0.08518589999999993,0.005534900000000009,0.005341299999999993
103,0.08718910000000002,0.005443299999999818,0.0052163000000000626
104,0.11198530000000018,0.005478299999999825,0.005317400000000028
105,0.11221710000000007,0.005461799999999961,0.005211099999999913
106,0.11375759999999979,0.005669999999999842,0.005557999999999952
107,0.11226500000000006,0.00547899999999979,0.00520929999999975
108,0.16943810000000026,0.005850099999999969,0.005652100000000271
109,0.17181200000000008,0.005898300000000134,0.005581700000000023
110,0.17107260000000002,0.005870400000000053,0.005597799999999875
111,0.22431670000000015,0.005805800000000083,0.005568999999999935
112,0.22802699999999998,0.005969599999999797,0.005824499999999677
113,0.22036999999999995,0.005990799999999741,0.0056210999999999345
114,0.22305960000000002,0.00608609999999965,0.006071899999999797
115,0.33600340000000006,0.0062677999999998235,0.005896400000000135
116,0.3491521000000004,0.0062413999999995085,0.005971599999999633
117,0.32688950000000006,0.006237200000000165,0.005743899999999691
118,0.4417559999999998,0.006281700000000612,0.0060197999999997975
119,0.4411870000000002,0.0062277999999995615,0.005862899999999449
120,0.44294369999999983,0.006613100000000038,0.0063355000000004935
121,0.4313651000000007,0.0065558000000001115,0.0063051000000005075
122,0.6589002000000006,0.0065374000000000265,0.006354599999999877
123,0.6499362,0.006532299999999935,0.006174500000000194
124,0.6486160999999999,0.006379499999999538,0.006250499999998382
125,0.8492896000000005,0.006470600000000104,0.006174200000000241
126,0.8629490999999998,0.0069134000000001805,0.006669199999999265
127,0.8748755999999993,0.0068627999999986145,0.006466600000001321
128,0.873930699999999,0.006840199999999186,0.006620500000000362
129,1.2834354999999995,0.006966800000000717,0.006509599999999338
130,1.2741392000000005,0.006814500000000834,0.006531100000000123
